Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2013 ;208010;CÁDIZ;SYJ;RELACIONES LABORALES Y RECURSOS HUMANOS ;FACULTAD DE CIENCIAS DEL TRABAJO (ALG);5,000;5,000;8,037 -ONP AN;15,250;5,000
2013 ;208502;CÁDIZ;SYJ;TRABAJO SOCIAL ;FACULTAD DE CIENCIAS DEL TRABAJO (SEDE  JEREZ);6,546;7,480;5,117 -OPR AN;5,000;5,000
2013 ;208730;CÁDIZ;SYJ;TURISMO ;FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ);5,000;5,000;6,475 -OPR AN;5,000;5,000
2013 ;325515;CÓRDOBA;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FACULTAD DE DERECHO Y CC. ECON. Y EMPRES.;7,964;6,020;5,000 -ONP NA;5,000;5,000
2013 ;325608;CÓRDOBA;SYJ;ADMON. Y DIREC. DE EMPRESA + DERECHO ;FACULTAD DE DERECHO Y CC. ECON. Y EMPRES.;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;326504;CÓRDOBA;C;BIOLOGÍA ;FACULTAD DE CIENCIAS;6,236;5,000;7,000 -ONP NA;5,000;5,000
2013 ;392001;CÓRDOBA;C;BIOQUÍMICA ;FACULTAD DE CIENCIAS;10,207;5,000;5,000 -ONP NA;5,000;5,000
2013 ;392508;CÓRDOBA;C;CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS ;FACULTAD DE VETERINARIA;7,330;8,510;6,035 -ONP AN;5,000;5,000
2013 ;327001;CÓRDOBA;C;CIENCIAS AMBIENTALES ;FACULTAD DE CIENCIAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;329505;CÓRDOBA;SYJ;DERECHO ;FACULTAD DE DERECHO Y CC. ECON. Y EMPRES.;6,394;7,240;5,320 -OPR NA;5,019;8,500
2013 ;345516;CÓRDOBA;SYJ;EDUCACIÓN INFANTIL ;CENTRO MAGISTERIO SAGRADO CORAZÓN (ADS);5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;345501;CÓRDOBA;SYJ;EDUCACIÓN INFANTIL ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,580;7,520;5,000 -ONP NA;5,000;5,000
2013 ;346511;CÓRDOBA;SYJ;EDUCACIÓN PRIMARIA ;CENTRO MAGISTERIO SAGRADO CORAZÓN (ADS);5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;346505;CÓRDOBA;SYJ;EDUCACIÓN PRIMARIA EDUCACIÓN FÍSICAEDUCACIÓN MUSICALLENGUA EXTRANJERANECESIDADES EDUCATIVAS ESPECÍFICAS;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;6,090;7,090;5,000 -ONP NA;5,000;5,000
2013 ;302509;CÓRDOBA;SD;ENFERMERÍA ;FACULTAD DE ENFERMERÍA;10,120;7,400;6,910 -OPR AN;14,101;5,650
2013 ;334502;CÓRDOBA;AYH;ESTUDIOS INGLESES ;FACULTAD DE FILOSOFÍA Y LETRAS;5,494;7,000;5,000 -ONP NA;5,000;5,000
2013 ;334006;CÓRDOBA;AYH;FILOLOGÍA HISPÁNICA ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;336003;CÓRDOBA;C;FÍSICA ;FACULTAD DE CIENCIAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;337503;CÓRDOBA;AYH;HISTORIA ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;7,300;5,000 -ONP NA;5,000;5,000
2013 ;338000;CÓRDOBA;AYH;HISTORIA DEL ARTE ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;6,862 -OPR NA;5,000;5,000
2013 ;322704;CÓRDOBA;IYA;ING. CIVIL + RECURSOS ENERGÉTICOS Y MINEROS ;ESCUELA POLITÉCNICA SUPERIOR DE BELMEZ;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;322003;CÓRDOBA;IYA;INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL HORTOFRUTICULTURA, JARDINERÍA Y PAISAJISMOINGENIERÍA ALIMENTARIAINGENIERÍA RURALSISTEMAS AGRO-GANADEROS;E.T.S. INGENIERÍA AGRONÓMICA Y DE MONTES;5,000;5,150;5,000 -ONP NA;5,000;5,000
2013 ;322500;CÓRDOBA;IYA;INGENIERÍA CIVIL CONSTRUCCIONES CIVILESHIDROLOGÍA;ESCUELA POLITÉCNICA SUPERIOR DE BELMEZ;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;323708;CÓRDOBA;IYA;INGENIERÍA DE RECURSOS ENERGETICOS Y MINEROS EXPLOTACIÓN DE MINASRECURSOS ENERGÉTICOS, COMBUSTIBLES Y EXPLOSIVOS;ESCUELA POLITÉCNICA SUPERIOR DE BELMEZ;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;312504;CÓRDOBA;IYA;INGENIERÍA ELÉCTRICA ;ESCUELA POLITÉCNICA SUPERIOR DE CÓRDOBA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;313001;CÓRDOBA;IYA;INGENIERÍA ELECTRÓNICA INDUSTRIAL ;ESCUELA POLITÉCNICA SUPERIOR DE CÓRDOBA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;324000;CÓRDOBA;IYA;INGENIERÍA FORESTAL EXPLOTACIONES FORESTALES;E.T.S. INGENIERÍA AGRONÓMICA Y DE MONTES;5,000;6,800;5,000 -ONP NA;5,000;5,000
2013 ;323503;CÓRDOBA;IYA;INGENIERÍA INFORMÁTICA COMPUTACIÓNINGENIERÍA DE COMPUTADORESINGENIERÍA DEL SOFTWARE;ESCUELA POLITÉCNICA SUPERIOR DE CÓRDOBA;5,230;7,100;5,420 -OPR NA;5,000;5,000
2013 ;313508;CÓRDOBA;IYA;INGENIERÍA MECÁNICA ;ESCUELA POLITÉCNICA SUPERIOR DE CÓRDOBA;5,170;5,000;5,000 -ONP NA;5,000;5,000
2013 ;339500;CÓRDOBA;SD;MEDICINA ;FACULTAD DE MEDICINA;12,233;8,810;7,490 -OPR AN;5,000;5,000
